date,RH2M,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,RH2M_mean_3,RH2M_mean_5,RH2M_mean_7,RH2M_mean_14,rainfall_sum_3,rainfall_sum_5,rainfall_sum_7,temp_std_3,temp_std_5,RH2M_diff_1,RH2M_diff_3,rainfall_diff_3,RH2M_accel,RH2M_trend_3,high_humidity_flag,humidity_streak,rainfall_spike,rainfall_onset,temp_stability,state,risk_raw,pre_risk,variety_susceptibility,risk
2022-12-04,73.47,0.0,27.55,27.85,27.21,74.27333333333331,73.03,73.13857142857144,70.755,0.010000000000014211,0.03000000000001421,0.029999999999956478,0.12529964086111228,0.22620786900466192,-2.010000000000005,-1.6899999999999977,-0.02,-3.6200000000000045,-0.20000000000000265,0,0,False,False,True,DRY,0,0,0,0
2022-12-05,76.49,0.02,27.72,28.09,27.39,75.14666666666665,74.894,73.29285714285713,72.17214285714286,0.02000000000001421,0.050000000000014214,0.04999999999995648,0.1552417469623295,0.11853269590970368,3.019999999999996,2.6199999999999903,0.01,5.030000000000001,0.5049999999999966,0,0,False,False,True,HUMID_BUILDUP,0,0,0,0
2022-12-06,81.61,0.16,27.56,27.85,27.27,77.18999999999997,76.184,74.75,73.45642857142857,0.1800000000000142,0.1900000000000142,0.2099999999999565,0.09539392014115514,0.11853269590970368,5.1200000000000045,6.1299999999999955,0.16,2.1000000000000085,4.070000000000004,1,1,False,False,True,HUMID_BUILDUP,0,0,0,0
2022-12-07,81.58,0.44,27.51,27.85,27.12,79.8933333333333,77.726,76.80857142857143,74.53571428571429,0.6200000000000142,0.6200000000000142,0.6499999999999564,0.10969655114558301,0.11202678251036251,-0.030000000000001137,8.11,0.44,-5.150000000000006,2.5449999999999866,1,2,False,False,True,DRY,0,0,0,0
2022-12-08,78.98,0.0,27.11,27.52,26.74,80.72333333333331,78.426,77.35428571428572,75.37714285714286,0.6000000000000142,0.6200000000000142,0.6299999999999564,0.24664414311577515,0.22704625079403587,-2.5999999999999943,2.490000000000009,-0.02,-2.569999999999993,-1.3150000000000037,0,0,False,False,True,DRY,0,0,0,0
2022-12-09,73.08,0.25,26.68,27.0,26.31,77.87999999999998,78.348,77.24142857142859,75.64928571428572,0.6900000000000142,0.8700000000000142,0.8699999999999564,0.4150903516104607,0.42051159318102044,-5.900000000000006,-8.530000000000001,0.09,-3.3000000000000114,-4.250000000000001,0,0,False,False,True,DRY,0,0,0,0
2022-12-10,66.93,0.73,26.52,26.83,26.21,72.99666666666666,76.436,76.02,74.95285714285714,0.9800000000000142,1.5800000000000143,1.5999999999999563,0.30512292604821406,0.471624850914005,-6.1499999999999915,-14.649999999999991,0.29,-0.2499999999999858,-6.0249999999999915,0,0,False,False,True,DRY,0,0,0,0
2022-12-11,67.77,0.0,26.81,27.42,26.22,69.25999999999998,73.66799999999999,75.20571428571428,74.17214285714284,0.9800000000000142,1.4200000000000141,1.5999999999999563,0.14525839046424613,0.39170141689770405,0.8399999999999892,-11.210000000000008,0.0,6.989999999999981,-2.655000000000003,0,0,False,False,True,DRY,0,0,0,0
2022-12-12,73.43,0.04,27.31,27.62,26.86,69.37666666666665,72.038,74.76857142857143,74.0307142857143,0.7700000000000142,1.0200000000000142,1.6199999999999564,0.39962482405398786,0.3209828655857996,5.660000000000011,0.3500000000000085,-0.21,4.820000000000022,3.249999999999988,0,0,False,False,True,DRY,0,0,0,0
2022-12-13,82.2,3.57,27.49,27.78,27.04,74.46666666666664,72.68199999999999,74.85285714285715,74.80142857142857,3.610000000000014,4.590000000000014,5.029999999999957,0.3523256069793791,0.4176960617478525,8.769999999999996,15.269999999999996,2.84,3.109999999999985,7.215000000000009,1,1,True,False,True,HUMID_BUILDUP,0,0,0,0
